#{"t_start": 1626664554.518051, "env_id": "RockWalk-v0"}
r,l,t
104.959809,43,541.339572
552.988398,154,543.167926
120.595763,45,544.10756
310.886814,93,545.185015
42.669235,25,545.288504
173.876739,62,546.202563
297.00529,90,548.005926
50.17283,27,548.115983
57.824737,29,549.290833
182.491551,61,550.480919
363.624023,106,551.562422
101.676628,40,552.643508
125.750268,49,553.448691
73.589827,33,553.569633
303.013071,94,555.316027
205.661201,67,556.259877
96.651755,40,556.417491
30.98174,22,557.130929
55.931284,29,557.227733
261.915281,82,558.726739
94.340054,40,559.53689
49.896006,27,560.339886
46.591928,26,560.444671
31.094683,22,560.522626
80.663139,35,561.613608
447.464076,138,563.511236
177.119622,62,564.662531
550.548726,155,566.853416
274.512825,73,569.479736
226.813311,72,570.576337
38.541963,24,570.665995
251.545328,79,571.48144
74.346162,33,572.34786
67.434861,31,572.495287
117.888231,45,573.482569
371.537972,110,575.529331
155.036456,54,576.463245
57.388772,29,576.597723
672.071739,176,579.116185
270.34428,86,580.000297
105.09582,41,580.694256
144.371156,52,581.730963
233.017664,74,582.596038
267.199732,85,583.458377
205.719343,66,584.209379
45.555347,26,584.29984
60.675284,30,585.003807
129.740658,48,585.759367
62.067094,30,585.85733
246.358319,78,586.803655
68.215909,32,587.7126
102.204228,41,587.842352
144.625348,52,588.58979
169.212556,60,589.358676
172.143464,60,590.131596
209.935555,69,590.910531
81.371539,35,591.597542
243.377101,76,592.506375
376.704285,113,594.296803
189.262218,62,595.114194
388.775969,112,596.069221
69.452926,32,596.895542
61.469588,30,597.004024
85.530473,39,597.701381
80.270517,35,598.416226
27.255587,21,598.519675
79.058994,34,598.729813
116.484366,45,599.448511
172.318537,58,600.203873
197.5159,66,600.974268
104.661907,42,601.718286
170.058319,57,602.649825
57.356495,29,602.854037
58.188427,29,604.411583
481.170201,126,607.53625
169.920421,58,607.849468
96.856318,39,609.000279
42.722491,25,609.103312
31.620376,22,610.23994
68.556393,32,610.43752
337.964072,103,612.630826
372.878003,111,614.779752
435.815593,124,616.730816
453.32446,139,618.264574
504.988258,144,619.894564
185.096217,61,620.646572
45.639583,26,620.738357
723.967739,199,622.980837
93.981882,39,624.314669
70.064958,32,625.670292
61.802025,30,625.8637
75.160331,34,626.797193
166.010356,57,627.007513
113.418231,43,627.849649
147.930804,53,628.839983
393.616414,101,631.92281
160.411589,58,632.283451
42.716444,25,633.533696
73.876875,33,633.658175
140.688928,52,634.468665
76.961005,34,635.691041
51.166541,27,635.787565
251.37001,78,637.104486
188.57441,62,638.724648
199.649876,67,640.354015
283.515669,86,642.234051
192.53238,64,643.866808
35.331381,23,643.979313
154.505139,59,645.068372
172.071679,58,646.160475
74.434408,33,646.315326
73.108031,33,647.735995
86.722819,38,647.87777
156.336196,56,648.875546
42.681683,25,650.389247
66.486984,31,650.566394
232.084932,78,652.376677
266.524922,68,655.639013
30.479476,22,655.754692
132.883391,50,656.800665
225.255553,72,658.195286
93.776899,38,658.397599
53.44886,28,659.429335
249.122057,77,660.40537
290.623796,91,662.131965
134.087469,49,663.384269
70.784255,32,664.177424
191.036497,64,665.234255
127.379761,47,665.416568
80.483139,35,666.281122
74.478327,33,666.41168
209.656969,68,668.289329
71.560215,33,668.428092
65.433308,31,669.243551
468.711091,134,671.192558
54.06061,28,671.291419
148.393269,52,672.276803
34.741606,23,672.365741
214.72967,73,673.383339
417.446993,121,675.314458
99.908793,44,676.085668
89.976457,37,676.824433
63.912841,31,676.924059
464.484522,135,678.48801
277.622313,96,679.991903
151.301007,53,680.148408
312.519956,96,681.627502
272.25858,83,682.482643
38.509355,24,683.170404
831.85403,229,685.636313
174.227178,61,686.41324
150.72981,53,687.154565
111.979507,43,687.917586
71.874057,33,688.025202
46.162057,26,688.713617
232.651781,76,689.513462
38.651941,24,689.601772
69.315488,32,690.287302
270.21477,83,691.116417
37.449397,24,691.205595
53.334362,28,691.889868
100.973201,41,692.013549
123.65641,47,692.75064
254.032617,79,693.535826
80.788374,35,694.231381
159.563099,55,694.970796
148.92679,52,695.696084
221.251687,72,696.472563
388.210549,114,697.336911
362.475409,106,698.757164
121.792614,45,699.474286
30.348886,22,699.557908
220.937509,72,700.324933
